mean,scale,id,sd,moransI,fractal
1,8,791,0.000387027059060322,0.235135831571899,2.5653571876315
1.5,8,792,0.000224444049894852,0.147844572461796,2.55688513899439
-2,9,793,0.00415764055742503,0.0565915072458481,2.36080248479248
-1.5,9,794,0.00287862766406578,0.0177207012000316,2.74969555512529
-1,9,795,0.00139786176542042,0.109556042210334,2.60774100453997
-0.5,9,796,0.000956110084096548,0.159732250866943,2.5258965867634
0,9,797,0.00042342786211831,0.190694661105915,2.50862864116126
0.5,9,798,0.000337755785553275,0.169776306140553,2.53023963578729
1,9,799,0.000211256215302925,0.108696672030733,2.5500579382085
1.5,9,800,0.00022853151427071,0.1448638220121,2.56840934517653
-2,10,801,0.0104051388436526,0.00131461013723657,2.97971088073714
-1.5,10,802,0.00191534256937268,0.07670635872786,2.58593365751986
-1,10,803,0.00231600084759956,0.0492118097478926,2.70003848910946
-0.5,10,804,0.00138577607364127,0.0675300242231647,2.57696776578825
0,10,805,0.000449713928442738,0.171923239498912,2.54016571801613
0.5,10,806,0.000597615633509197,0.118705951725994,2.51769245872413
1,10,807,0.000398301626171225,0.134899428029592,2.5432565632625
1.5,10,808,0.000173458377537778,0.128305789822009,2.53893505463526
-2,15,809,0.00614926305426599,0.0182905456526289,2.84867508686027
-1.5,15,810,0.00402888670535796,0.0271717610551599,2.83209170287628
-1,15,811,0.00185023932278962,0.0785786586117925,2.53020548995732
-0.5,15,812,0.000815022392375861,0.119829280371032,2.5510174209928
0,15,813,0.000396755486873965,0.16075093473902,2.48279819968414
0.5,15,814,0.000215820556690943,0.196243879645489,2.56145855299148
1,15,815,0.000226722778627402,0.147417198531754,2.51211996506421
1.5,15,816,0.000174608538748368,0.173243573806937,2.52186755710905
-2,20,817,0.00146200513905408,0.189092940378996,2.55256331362141
-1.5,20,818,0.00278711165045423,0.107417361441783,2.49107609160138
-1,20,819,0.00111424189329566,0.125864196333362,2.54499482512482
-0.5,20,820,0.00815332253706333,0.0191791019674682,2.33007754899186
0,20,821,0.00134068818237068,0.141153451711037,2.55850206757796
0.5,20,822,0.000256902947111547,0.151070087577157,2.520893364662
1,20,823,0.000367282600790752,0.258471805786106,2.54943942018498
1.5,20,824,0.000222874678105753,0.232025216483523,2.51308715217952
-2,25,825,0.000972156985261971,0.198643954127047,2.5092495054357
-1.5,25,826,0.00117228297565794,0.197286618474655,2.44738439496768
-1,25,827,0.000794933031631669,0.14804100770208,2.49517221141538
